,Region, Date, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area,month
0,Andhra Pradesh,2019-05-31,3.65,11999139.0,43.24,Rural,05-19
373,Andhra Pradesh,2019-05-31,6.09,4788661.0,37.45,Urban,05-19
1,Andhra Pradesh,2019-06-30,3.05,11755881.0,42.05,Rural,06-19
374,Andhra Pradesh,2019-06-30,3.8,4824630.0,36.76,Urban,06-19
2,Andhra Pradesh,2019-07-31,3.75,12086707.0,43.5,Rural,07-19
375,Andhra Pradesh,2019-07-31,5.64,4657443.0,36.1,Urban,07-19
3,Andhra Pradesh,2019-08-31,3.32,12285693.0,43.97,Rural,08-19
376,Andhra Pradesh,2019-08-31,4.61,4743179.0,36.29,Urban,08-19
4,Andhra Pradesh,2019-09-30,5.17,12256762.0,44.68,Rural,09-19
377,Andhra Pradesh,2019-09-30,6.01,4733996.0,36.69,Urban,09-19
5,Andhra Pradesh,2019-10-31,3.52,12017412.0,43.01,Rural,10-19
378,Andhra Pradesh,2019-10-31,4.7,4774377.0,36.41,Urban,10-19
6,Andhra Pradesh,2019-11-30,4.12,11397681.0,41.0,Rural,11-19
379,Andhra Pradesh,2019-11-30,7.54,4668772.0,36.62,Urban,11-19
7,Andhra Pradesh,2019-12-31,4.38,12528395.0,45.14,Rural,12-19
380,Andhra Pradesh,2019-12-31,7.88,4913963.0,38.61,Urban,12-19
8,Andhra Pradesh,2020-01-31,4.84,12016676.0,43.46,Rural,01-20
381,Andhra Pradesh,2020-01-31,7.11,4618860.0,35.91,Urban,01-20
9,Andhra Pradesh,2020-02-29,5.91,11723617.0,42.83,Rural,02-20
382,Andhra Pradesh,2020-02-29,5.66,4822035.0,36.84,Urban,02-20
10,Andhra Pradesh,2020-03-31,4.06,11359660.0,40.66,Rural,03-20
383,Andhra Pradesh,2020-03-31,9.88,4521537.0,36.08,Urban,03-20
11,Andhra Pradesh,2020-04-30,16.29,8792827.0,36.03,Rural,04-20
384,Andhra Pradesh,2020-04-30,32.3,2544084.0,26.97,Urban,04-20
12,Andhra Pradesh,2020-05-31,14.46,9526902.0,38.16,Rural,05-20
385,Andhra Pradesh,2020-05-31,24.91,3428356.0,32.69,Urban,05-20
13,Andhra Pradesh,2020-06-30,0.85,15572975.0,53.76,Rural,06-20
386,Andhra Pradesh,2020-06-30,5.86,4954389.0,37.61,Urban,06-20
14,Assam,2019-05-31,4.29,11749334.0,57.39,Rural,05-19
387,Assam,2019-05-31,7.87,1671707.0,44.92,Urban,05-19
15,Assam,2019-06-30,5.08,8923222.0,43.87,Rural,06-19
388,Assam,2019-06-30,9.89,1647342.0,45.17,Urban,06-19
16,Assam,2019-07-31,4.26,9911534.0,48.21,Rural,07-19
389,Assam,2019-07-31,3.21,1739838.0,44.32,Urban,07-19
17,Assam,2019-08-31,5.79,9292039.0,45.83,Rural,08-19
390,Assam,2019-08-31,10.39,1595582.0,43.81,Urban,08-19
18,Assam,2019-09-30,4.46,11468349.0,55.67,Rural,09-19
391,Assam,2019-09-30,9.26,1576480.0,42.66,Urban,09-19
19,Assam,2019-10-31,4.65,8395906.0,40.76,Rural,10-19
392,Assam,2019-10-31,11.17,1595176.0,44.01,Urban,10-19
20,Assam,2019-11-30,4.66,9625362.0,46.64,Rural,11-19
393,Assam,2019-11-30,6.31,1708045.0,44.59,Urban,11-19
394,Assam,2019-12-31,5.02,1722303.0,44.26,Urban,12-19
21,Assam,2020-01-31,4.29,11420996.0,54.9,Rural,01-20
395,Assam,2020-01-31,7.24,1630908.0,42.82,Urban,01-20
22,Assam,2020-02-29,3.26,8462814.0,40.17,Rural,02-20
396,Assam,2020-02-29,9.98,1625454.0,43.9,Urban,02-20
23,Assam,2020-03-31,3.77,9878742.0,47.05,Rural,03-20
397,Assam,2020-03-31,10.34,1664145.0,45.03,Urban,03-20
398,Assam,2020-04-30,8.37,1454956.0,38.45,Urban,04-20
24,Assam,2020-05-31,9.38,9926176.0,50.0,Rural,05-20
399,Assam,2020-05-31,10.77,1441722.0,39.04,Urban,05-20
25,Assam,2020-06-30,0.0,7544937.0,34.38,Rural,06-20
400,Assam,2020-06-30,3.42,1551007.0,38.73,Urban,06-20
26,Bihar,2019-05-31,9.27,24322330.0,39.75,Rural,05-19
401,Bihar,2019-05-31,19.9,3029344.0,39.8,Urban,05-19
27,Bihar,2019-06-30,10.2,24097712.0,39.71,Rural,06-19
402,Bihar,2019-06-30,13.29,3248864.0,39.35,Urban,06-19
28,Bihar,2019-07-31,13.44,23248875.0,39.66,Rural,07-19
403,Bihar,2019-07-31,16.41,3059744.0,38.36,Urban,07-19
29,Bihar,2019-08-31,11.0,22260203.0,36.85,Rural,08-19
404,Bihar,2019-08-31,17.66,2994763.0,38.03,Urban,08-19
30,Bihar,2019-09-30,8.87,23905700.0,38.57,Rural,09-19
405,Bihar,2019-09-30,20.46,2992082.0,39.25,Urban,09-19
31,Bihar,2019-10-31,12.47,24053140.0,40.31,Rural,10-19
406,Bihar,2019-10-31,14.06,3173429.0,38.45,Urban,10-19
32,Bihar,2019-11-30,12.4,22445989.0,37.51,Rural,11-19
407,Bihar,2019-11-30,17.62,3081077.0,38.86,Urban,11-19
33,Bihar,2019-12-31,10.16,22914530.0,37.25,Rural,12-19
408,Bihar,2019-12-31,14.91,2977857.0,36.29,Urban,12-19
34,Bihar,2020-01-31,9.13,23409006.0,37.54,Rural,01-20
409,Bihar,2020-01-31,20.69,2988665.0,38.99,Urban,01-20
35,Bihar,2020-02-29,9.61,23168192.0,37.28,Rural,02-20
410,Bihar,2020-02-29,15.11,3113464.0,37.87,Urban,02-20
36,Bihar,2020-03-31,15.39,22667882.0,38.88,Rural,03-20
411,Bihar,2020-03-31,15.73,3049637.0,37.29,Urban,03-20
37,Bihar,2020-04-30,45.09,14645275.0,38.63,Rural,04-20
412,Bihar,2020-04-30,58.77,1400962.0,34.94,Urban,04-20
38,Bihar,2020-05-31,47.26,14050319.0,38.5,Rural,05-20
413,Bihar,2020-05-31,37.87,2207026.0,36.45,Urban,05-20
39,Bihar,2020-06-30,20.49,20622566.0,37.4,Rural,06-20
414,Bihar,2020-06-30,12.45,3124663.0,36.54,Urban,06-20
415,Chandigarh,2019-05-31,18.35,348042.0,44.89,Urban,05-19
416,Chandigarh,2019-06-30,12.4,337145.0,40.44,Urban,06-19
417,Chandigarh,2019-07-31,21.8,294379.0,39.47,Urban,07-19
418,Chandigarh,2019-08-31,9.52,328282.0,37.95,Urban,08-19
419,Chandigarh,2019-09-30,20.14,327239.0,42.77,Urban,09-19
420,Chandigarh,2019-10-31,13.99,330856.0,40.06,Urban,10-19
421,Chandigarh,2019-11-30,22.05,289593.0,38.6,Urban,11-19
422,Chandigarh,2019-12-31,8.33,311146.0,35.19,Urban,12-19
423,Chandigarh,2020-01-31,20.0,332062.0,42.94,Urban,01-20
424,Chandigarh,2020-02-29,16.67,316887.0,39.25,Urban,02-20
425,Chandigarh,2020-03-31,21.43,279839.0,36.68,Urban,03-20
426,Chandigarh,2020-06-30,7.22,306505.0,33.8,Urban,06-20
40,Chhattisgarh,2019-05-31,9.82,6259019.0,42.89,Rural,05-19
427,Chhattisgarh,2019-05-31,9.77,2223129.0,45.61,Urban,05-19
41,Chhattisgarh,2019-06-30,6.76,6608626.0,43.71,Rural,06-19
428,Chhattisgarh,2019-06-30,11.77,2192020.0,45.88,Urban,06-19
42,Chhattisgarh,2019-07-31,4.54,6753622.0,43.53,Rural,07-19
429,Chhattisgarh,2019-07-31,8.17,2285436.0,45.85,Urban,07-19
43,Chhattisgarh,2019-08-31,4.64,6607694.0,42.55,Rural,08-19
430,Chhattisgarh,2019-08-31,6.29,2392400.0,46.91,Urban,08-19
44,Chhattisgarh,2019-09-30,8.33,6490776.0,43.38,Rural,09-19
431,Chhattisgarh,2019-09-30,9.46,2311507.0,46.8,Urban,09-19
45,Chhattisgarh,2019-10-31,6.96,7043840.0,46.28,Rural,10-19
432,Chhattisgarh,2019-10-31,10.27,2297096.0,46.82,Urban,10-19
46,Chhattisgarh,2019-11-30,2.77,6942931.0,43.56,Rural,11-19
433,Chhattisgarh,2019-11-30,8.32,2341284.0,46.59,Urban,11-19
47,Chhattisgarh,2019-12-31,6.11,6569385.0,42.59,Rural,12-19
434,Chhattisgarh,2019-12-31,3.57,2415436.0,45.59,Urban,12-19
48,Chhattisgarh,2020-01-31,9.89,6236201.0,42.03,Rural,01-20
435,Chhattisgarh,2020-01-31,9.01,2315972.0,46.21,Urban,01-20
49,Chhattisgarh,2020-02-29,7.89,6847173.0,45.05,Rural,02-20
